"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.surface"	"cell.volume"	"cell.length"
0	1	17.25412541	22.5	125.2934899	1212	43.41814498
1	1	18.06281588	22.39205776	162.4332978	1385	48.05991485
2	1	18.47084233	22.30165587	168.5165422	1389	48.29094241
3	1	18.56637807	22.29004329	165.208111	1386	48.89240218
4	1	18.55339105	22.46176046	166.9156884	1386	49.42902341
5	1	18.65114613	22.79942693	174.0661686	1396	49.80918101
6	1	18.8314121	22.96685879	169.4770544	1388	49.91249367
7	1	18.95743146	23.22510823	169.7972252	1386	50.5573018
8	1	19.1218638	23.53189964	169.1568837	1395	50.24784451
9	1	19.50573888	24.05164993	174.7065101	1394	50.75894766
10	1	19.69081779	24.74605452	174.0661686	1394	51.39904056
11	1	19.89208633	24.74172662	176.2006403	1390	50.91743564
12	1	20.12123386	25.24533716	174.0661686	1394	51.30175589
13	1	19.88458781	25.48673835	172.0384205	1395	51.19825476
14	1	20.16319195	25.60100647	171.8249733	1391	50.69699851
15	1	20.52333094	26.04450826	172.0384205	1393	50.45010436
16	1	21.03818444	26.1851585	174.5997866	1388	49.94255706
17	1	21.44946237	26.48888889	172.2518677	1395	49.74364209
18	1	21.43925234	27.22429907	174.0661686	1391	49.86396123
19	1	21.67691208	28.05503931	171.8249733	1399	50.35757061
20	1	21.84604317	28.68992806	171.9316969	1390	50.28300841
21	1	21.83345298	29.22684853	176.4140875	1393	50.25677784
22	1	21.99784328	29.92451474	175.0266809	1391	49.25836206
23	1	21.80359712	30.01510791	172.4653148	1390	48.99058601
24	1	22.15577889	30.86145011	171.398079	1393	48.90160543
25	1	22.16498559	31.49783862	169.6905016	1388	47.44442752
26	1	22.38163558	32.23672884	170.864461	1394	46.46648605
27	1	22.84753042	32.67072298	167.3425827	1397	45.21296342
28	1	23.15190785	33.46724262	172.3585912	1389	45.15561646
29	1	23.21233859	33.93543759	171.8249733	1394	44.2825175
30	1	23.62859195	34.37715517	172.678762	1392	44.25122165
31	1	23.87517934	35.38450502	174.0661686	1394	44.18642642
32	1	24.07764198	35.74838246	172.4653148	1391	43.97685
33	1	24.30122214	36.10208483	174.5997866	1391	43.40417857
34	1	24.35302594	36.39769452	167.3425827	1388	44.90431309
35	1	24.35272989	36.9533046	173.8527215	1392	45.1766011
36	1	24.1637931	37.19396552	166.7022412	1392	45.03537084
37	1	24.02233429	37.73126801	166.488794	1388	44.80844195
38	1	24.38837042	37.62024408	172.9989328	1393	45.36591874
39	1	24.23529412	38.55093257	171.7182497	1394	46.17918985
40	1	24.60662824	39.35086455	170.3308431	1388	46.66040167
41	1	25.10409189	39.33094042	172.7854856	1393	47.79951851
42	1	25.12338594	39.78622669	167.2358591	1394	48.20644346
43	1	25.67242621	39.89776818	169.583778	1389	49.42687365
44	1	26.27155172	40.09267241	172.8922092	1392	49.8426331
45	1	26.48028674	40.56630824	167.3425827	1395	50.8039806
46	1	26.95265423	40.97632712	169.2636073	1394	50.9852023
47	1	27.39870224	41.03893295	171.7182497	1387	51.38949267
48	1	27.86412653	41.27174694	170.6510139	1391	52.02755657
49	1	28.47160316	41.96621136	175.773746	1391	53.50999322
50	1	28.47879224	41.94823868	169.7972252	1391	54.09994047
51	1	28.4262059	41.85601152	166.9156884	1389	54.2342133
52	1	28.89949749	41.73223259	172.5720384	1393	54.44499388
53	1	29.07122302	41.77625899	164.3543223	1390	55.00741611
54	1	29.53381295	42.1676259	170.1173959	1390	56.17987235
55	1	30.4034458	42.46877243	174.3863394	1393	56.8387538
56	1	30.4	42.49568345	171.2913554	1390	57.63305531
57	1	30.28417266	42.56258993	172.678762	1390	57.23781954
58	1	31.58189655	42.37571839	170.864461	1392	58.6196708
59	1	32.14244604	42.22230216	167.5560299	1390	58.60253266
60	1	32.497851	42.3230659	171.5048026	1396	59.2777899
61	1	32.74442045	42.52843772	172.1451441	1389	59.25041427
62	1	32.67363112	42.87536023	172.0384205	1388	59.87688798
63	1	33.59827214	43.0611951	170.6510139	1389	59.7229776
64	1	34.10704023	43.26508621	173.2123799	1392	61.57913561
65	1	34.82222222	43.39856631	177.588047	1395	61.6298088
66	1	35.3297568	43.42989986	175.773746	1398	63.11793523
67	1	35.48638968	43.73710602	173.959445	1396	63.499247
68	1	36.05399568	44.00287977	173.1056564	1389	63.66808109
69	1	36.62643678	44.12643678	177.1611526	1392	63.85351636
70	1	36.6332853	44.20533141	174.9199573	1388	63.59091157
71	1	36.04813218	44.26436782	174.3863394	1392	64.63971769
72	1	36.4034458	44.52476669	174.9199573	1393	65.12357517
73	1	37.29640288	44.69136691	172.4653148	1390	65.18932582
74	1	37.73919308	45.01512968	172.9989328	1388	66.48752889
75	1	38.99568656	45.11790079	175.9871932	1391	66.40576855
76	1	39.59928058	44.94244604	171.398079	1390	67.36905498
77	1	39.85847701	44.82183908	175.4535752	1392	67.13512761
78	1	39.79049676	44.92656587	178.1216649	1389	67.07551111
79	1	40.36389892	45.06425993	175.4535752	1385	67.01977993
80	1	40.96328294	45.01367891	174.2796158	1389	67.44234399
81	1	41.00071942	44.97266187	176.9477054	1390	68.69346466
82	1	41.63786897	44.82217423	176.7342583	1389	68.68275951
83	1	42.05519713	44.69318996	175.1334045	1395	69.27392513
84	1	42.34291876	44.79367362	175.5602988	1391	69.43761973
85	1	43.1511879	45.04391649	177.6947705	1389	70.03695415
86	1	43.28633094	44.93381295	175.5602988	1390	69.13525738
87	1	43.68844221	45.017229	175.9871932	1393	69.13793085
88	1	44.01005747	45.19899425	173.7459979	1392	70.04193377
89	1	44.52008608	45.16714491	179.9359658	1394	70.09996961
90	1	45.09345794	45.27893602	177.054429	1391	69.70944113
91	1	45.75072046	45.55691643	178.0149413	1388	71.38110315
92	1	46.12374101	45.50071942	177.4813234	1390	71.14668958
93	1	46.80959198	45.40658554	176.4140875	1397	70.7657978
94	1	47.51077586	45.49137931	179.9359658	1392	70.23884744
95	1	48.32083634	45.54650324	179.2956243	1387	70.39617778
96	1	48.53228121	45.3866571	178.0149413	1394	71.52154766
97	1	49.34938893	45.53271028	175.3468517	1391	70.3889012
98	1	49.91893831	45.44978479	175.9871932	1394	70.57392819
99	1	50.3495702	45.54727794	178.6552828	1396	71.37059241
100	1	51.02015839	45.61195104	174.8132337	1389	70.91272686
101	1	51.40057637	45.59582133	178.5485592	1388	72.40583421
102	1	51.71593367	45.62653208	177.6947705	1387	71.91787403
