simulation_id,folder_name,model_type,track_type,domain_width,domain_height,domain_file,gradient_file,gradient_scale,mcs_duration,folder_path,png_count,total_frames,frames_analyzed,frames_skipped,collision_frames,collision_percentage,max_collision_intensity,mean_collision_intensity,track_progress_percentage,max_y_position,progress_data_source
47,WPI-PIP3_Collision_TrackA_47,WPI-PIP3,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackA_47,601,601,586,15,359,61.262798634812285,0.0039692384023815,0.0005794053928316,94.96688888888887,427.351,celltracks
48,WPI-PIP3_Collision_TrackA_48,WPI-PIP3,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackA_48,601,601,586,15,440,75.0853242320819,0.0052772086670391,0.0009927031056354,95.862,431.379,celltracks
49,WPI-PIP3_Collision_TrackA_49,WPI-PIP3,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackA_49,601,601,586,15,402,68.60068259385666,0.0054638023096982,0.0009452987367656,81.67866666666667,367.554,celltracks
50,WPI-PIP3_Collision_TrackA_50,WPI-PIP3,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackA_50,601,601,586,15,432,73.72013651877133,0.0052775363218676,0.0010297129969428,82.22044444444445,369.992,celltracks
51,WPI-PIP3_Collision_TrackA_51,WPI-PIP3,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackA_51,601,601,586,15,404,68.94197952218431,0.0035392735175411,0.0006065782291191,94.26044444444445,424.172,celltracks
52,WPI-PIP3_Collision_TrackA_52,WPI-PIP3,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackA_52,601,601,586,15,404,68.94197952218431,0.0029780369772924,0.0005960837982836,95.36488888888888,429.142,celltracks
53,WPI-PIP3_Collision_TrackA_53,WPI-PIP3,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackA_53,601,601,586,15,363,61.94539249146758,0.0043421623968736,0.0006251629395833,95.37577777777776,429.191,celltracks
54,WPI-PIP3_Collision_TrackA_54,WPI-PIP3,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackA_54,601,601,586,15,384,65.52901023890784,0.0057699466435041,0.0009028598179608,94.642,425.889,celltracks
55,WPI-PIP3_Collision_TrackA_55,WPI-PIP3,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackA_55,601,601,586,15,399,68.08873720136519,0.0040267624829636,0.0008045698511459,45.71377777777778,205.712,celltracks
10,WPI_Collision_TrackA_10,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_10,601,601,586,15,515,87.8839590443686,0.0067076579094466,0.0018750189155873,83.44066666666666,375.483,celltracks
11,WPI_Collision_TrackA_11,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_11,601,601,586,15,524,89.419795221843,0.0065185001241619,0.0018071740327064,96.058,432.261,celltracks
1163,WPI_Collision_TrackA_1163,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_1163,601,601,586,15,524,89.419795221843,0.0068888475144293,0.0019143409447148,96.434,433.953,celltracks
1165,WPI_Collision_TrackA_1165,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_1165,601,601,586,15,517,88.22525597269625,0.0065201192250372,0.0018769980034343,84.4608888888889,380.074,celltracks
1166,WPI_Collision_TrackA_1166,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_1166,601,601,586,15,517,88.22525597269625,0.0063306852035749,0.0017053533848154,82.79488888888889,372.577,celltracks
1167,WPI_Collision_TrackA_1167,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_1167,601,601,586,15,399,68.08873720136519,0.0034097954122752,0.0005889123163331,57.83311111111112,260.249,celltracks
1168,WPI_Collision_TrackA_1168,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_1168,601,601,586,15,419,71.50170648464163,0.0030998140111593,0.000630913175839,57.24977777777779,257.624,celltracks
1169,WPI_Collision_TrackA_1169,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_1169,601,601,586,15,503,85.83617747440273,0.0060237222877724,0.0015198443963452,82.60422222222222,371.719,celltracks
1170,WPI_Collision_TrackA_1170,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_1170,601,601,586,15,443,75.59726962457339,0.002601908065915,0.0006316452900708,72.99777777777778,328.49,celltracks
1171,WPI_Collision_TrackA_1171,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_1171,601,601,586,15,411,70.13651877133105,0.0052781917536015,0.0007282325737138,58.10933333333333,261.492,celltracks
1172,WPI_Collision_TrackA_1172,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_1172,601,601,586,15,493,84.1296928327645,0.0065156686317095,0.0014010081511867,82.61822222222222,371.782,celltracks
1173,WPI_Collision_TrackA_1173,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_1173,601,601,586,15,499,85.15358361774744,0.0062717337307501,0.0015930654131207,82.68155555555555,372.067,celltracks
1174,WPI_Collision_TrackA_1174,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_1174,601,601,586,15,385,65.69965870307168,0.0038459152658023,0.0005776763504936,70.00844444444445,315.038,celltracks
1175,WPI_Collision_TrackA_1175,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_1175,601,601,586,15,503,85.83617747440273,0.0073305584891594,0.0019861053047087,89.12155555555556,401.047,celltracks
1176,WPI_Collision_TrackA_1176,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_1176,601,601,586,15,521,88.90784982935153,0.0067680844458242,0.0017748252179696,84.88799999999999,381.996,celltracks
1177,WPI_Collision_TrackA_1177,WPI,TrackA_300x450,300,450,TrackA_300x450.tiff,TrackA_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI_Collision_TrackA_1177,601,601,586,15,510,87.03071672354949,0.0067126608241655,0.001681495433856,82.86777777777777,372.905,celltracks
