simulation_id,folder_name,model_type,track_type,domain_width,domain_height,domain_file,gradient_file,gradient_scale,mcs_duration,folder_path,png_count,total_frames,frames_analyzed,frames_skipped,collision_frames,collision_percentage,max_collision_intensity,mean_collision_intensity,track_progress_percentage,max_y_position,progress_data_source
1206,WP_Collision_TrackB_1206,WP,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WP_Collision_TrackB_1206,601,601,586,15,582,99.31740614334473,0.0013849358240368,0.0009235992956724,22.95777777777778,103.31,celltracks
1207,WP_Collision_TrackB_1207,WP,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WP_Collision_TrackB_1207,601,601,586,15,581,99.14675767918088,0.0013304252998909,0.0008912875149683,23.217555555555556,104.479,celltracks
1208,WP_Collision_TrackB_1208,WP,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WP_Collision_TrackB_1208,601,601,586,15,581,99.14675767918088,0.0012322522954788,0.0008708785817863,22.682,102.069,celltracks
13,WP_Collision_TrackB_13,WP,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WP_Collision_TrackB_13,601,601,586,15,506,86.3481228668942,0.0011885938607491,0.0004118852186718,22.801111111111112,102.605,celltracks
1935,WP_Collision_TrackB_1935,WP,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WP_Collision_TrackB_1935,601,601,586,15,545,93.00341296928327,0.0013520733608836,0.0007926267436801,20.112244444444443,90.5051,celltracks
1936,WP_Collision_TrackB_1936,WP,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WP_Collision_TrackB_1936,601,601,586,15,558,95.22184300341296,0.0011885160994864,0.0005183198883957,21.19051111111111,95.3573,celltracks
1937,WP_Collision_TrackB_1937,WP,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WP_Collision_TrackB_1937,601,601,586,15,559,95.3924914675768,0.0013412134164958,0.000689720906731,19.8892,89.5014,celltracks
1938,WP_Collision_TrackB_1938,WP,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WP_Collision_TrackB_1938,601,601,586,15,406,69.28327645051195,0.0004797941247028,0.0001040368160221,12.094333333333331,54.4245,celltracks
1939,WP_Collision_TrackB_1939,WP,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WP_Collision_TrackB_1939,601,601,586,15,579,98.80546075085324,0.0012104821208519,0.0008503689435016,22.395555555555553,100.78,celltracks
1940,WP_Collision_TrackB_1940,WP,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WP_Collision_TrackB_1940,601,601,586,15,538,91.80887372013652,0.0010903817426481,0.000246611099502,21.88402222222222,98.4781,celltracks
21,WP_Collision_TrackB_21,WP,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WP_Collision_TrackB_21,601,601,586,15,581,99.14675767918088,0.0012976533193753,0.000877669694672,22.59688888888889,101.686,celltracks
57,WP_Collision_TrackB_57,WP,,,,,,1.0,,data/WP_Collision_TrackB_57,463,463,463,0,401,86.60907127429806,0.000556981379348,0.0001257608095536,0.0,0.0,celltracks
9,WP_Collision_TrackB_9,WP,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WP_Collision_TrackB_9,601,601,586,15,494,84.30034129692832,0.0004797836611855,0.0001231659119156,11.932266666666663,53.6952,celltracks
1759,Rac-Rho_Collision_TrackB_1759,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1759,601,601,586,15,578,98.63481228668942,0.001352427279767,0.0008986017497833,75.03466666666667,337.656,celltracks
1760,Rac-Rho_Collision_TrackB_1760,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1760,601,601,586,15,571,97.44027303754264,0.0013303527615724,0.0008763592727886,19.535733333333333,87.9108,celltracks
1761,Rac-Rho_Collision_TrackB_1761,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1761,601,601,586,15,586,100.0,0.0013411549197487,0.0009641191144367,18.590511111111113,83.6573,celltracks
1762,Rac-Rho_Collision_TrackB_1762,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1762,601,601,586,15,579,98.80546075085324,0.0011667975224635,0.0007853276134228,22.270888888888887,100.219,celltracks
1763,Rac-Rho_Collision_TrackB_1763,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1763,601,601,586,15,573,97.7815699658703,0.0013633042131553,0.0008920358342287,74.76977777777778,336.464,celltracks
1764,Rac-Rho_Collision_TrackB_1764,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1764,601,601,586,15,584,99.65870307167236,0.0011996030404484,0.0008310749242088,23.32177777777778,104.948,celltracks
1765,Rac-Rho_Collision_TrackB_1765,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1765,601,601,586,15,584,99.65870307167236,0.0012323463656687,0.0008624246901062,23.865777777777776,107.396,celltracks
1766,Rac-Rho_Collision_TrackB_1766,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1766,601,601,586,15,573,97.7815699658703,0.0013087149509777,0.0009052020009519,74.33777777777777,334.52,celltracks
1767,Rac-Rho_Collision_TrackB_1767,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1767,601,601,586,15,576,98.29351535836176,0.0014176663031624,0.0008963055692725,74.80044444444444,336.602,celltracks
1768,Rac-Rho_Collision_TrackB_1768,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1768,601,601,586,15,582,99.31740614334473,0.0012431029594573,0.0008521413641899,23.059111111111115,103.766,celltracks
1769,Rac-Rho_Collision_TrackB_1769,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1769,601,601,586,15,580,98.97610921501706,0.0014831941021222,0.0009291473572637,74.88688888888888,336.991,celltracks
1770,Rac-Rho_Collision_TrackB_1770,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1770,601,601,586,15,586,100.0,0.0012866925459065,0.0008836247629696,18.871022222222223,84.9196,celltracks
1771,Rac-Rho_Collision_TrackB_1771,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1771,601,601,586,15,582,99.31740614334473,0.0012539936973186,0.0008474881206926,23.206888888888887,104.431,celltracks
